,Comunidade,C.grau,C.clustering,C.closeness,C.cf.closeness,C.betweenness,C.cf.betweenness,C.load,C.harmonic
Abolicao,0,0.5761589403973509,0.17935381499185754,0.7023255813953488,0.07750723694714237,0.0141280353200883,0.02034144408646247,0.0141280353200883,117.5
Acari,1,0.4966887417218543,0.22781077593241064,0.6651982378854625,0.07621025098011767,0.0006181015452538631,0.018420896153889966,0.0006181015452538631,116.0
Agua Santa,0,0.48344370860927155,0.1682175382793711,0.6593886462882096,0.06830258888814215,0.02966887417218543,0.01757308346942986,0.02966887417218543,111.5
Alto da Boa Vista,3,0.423841059602649,0.16665760654502573,0.634453781512605,0.06517839253611407,0.008653421633554084,0.018140058178754703,0.008653421633554084,115.5
Anchieta,1,0.5298013245033113,0.22039062639527005,0.6801801801801802,0.07859843575092955,0.0,0.01914733647177754,0.0,109.0
Andarai,0,0.5033112582781457,0.24006741547633195,0.668141592920354,0.07872048251653752,0.06419426048565122,0.019000856402253186,0.06419426048565122,111.5
Anil,3,0.5033112582781457,0.12156484614539274,0.668141592920354,0.061095310883803516,0.04150110375275938,0.017529093439558333,0.04150110375275938,108.5
Bancarios,3,0.48344370860927155,0.11944513118116672,0.6593886462882096,0.06141458758603957,0.041236203090507725,0.016344206876853055,0.041236203090507725,108.5
Bangu,1,0.3841059602649007,0.31485059246268193,0.6163265306122448,0.07226481227969186,0.01554083885209713,0.015280004835564659,0.01554083885209713,111.0
Barra de Guaratiba,3,0.36423841059602646,0.1797905008371913,0.611336032388664,0.05963124927185858,0.006887417218543046,0.015850981216430592,0.006887417218543046,112.0
Barros Filho,1,0.47019867549668876,0.23093451036717616,0.6536796536796536,0.07438949081281722,0.05704194260485651,0.01785913041432197,0.05704194260485651,112.33333333333333
Benfica,1,0.46357615894039733,0.2128812919324979,0.6508620689655172,0.07137262255116592,0.0,0.017347909572840742,0.0,115.5
Bento Ribeiro,0,0.5496688741721855,0.15981148586812224,0.6894977168949772,0.07437929221753022,0.052980132450331126,0.023240085324837376,0.052980132450331126,112.5
Bonsucesso,1,0.4966887417218543,0.1406126715136882,0.6651982378854625,0.06366065778850269,0.025783664459161148,0.01617976204970678,0.025783664459161148,116.0
Botafogo,0,0.4304635761589404,0.199874228960802,0.6371308016877637,0.06724256834413472,0.02878587196467991,0.01697146778727841,0.02878587196467991,113.0
Bras de Pina,1,0.5364238410596026,0.195627064297181,0.6832579185520362,0.0759637202572989,0.013774834437086093,0.019736930973807243,0.013774834437086093,114.5
Cachambi,0,0.543046357615894,0.20724706876227295,0.6863636363636364,0.07877723658440743,0.003708609271523179,0.020885902373312323,0.003708609271523179,116.0
Cacuia,3,0.41721854304635764,0.1491291431406494,0.6317991631799164,0.06138357574745623,0.08821192052980133,0.016854289154652497,0.08821192052980133,108.0
Caju,2,0.3509933774834437,0.15377989201682074,0.606425702811245,0.05353612181250351,0.016247240618101545,0.01242678965204495,0.016247240618101545,117.0
Camorim,3,0.423841059602649,0.15533268565266023,0.634453781512605,0.06206993193721164,0.004856512141280353,0.016880558557251263,0.004856512141280353,114.0
Campinho,0,0.5364238410596026,0.13611694736949637,0.6832579185520362,0.06636282756279406,0.016158940397350992,0.018186796835218507,0.016158940397350992,107.5
Cascadura,1,0.4370860927152318,0.26071397007747743,0.6398305084745762,0.07365453689426159,0.00017660044150110375,0.01578089440043314,0.00017660044150110375,114.5
