Bairros,Abolicao,Acari,Agua Santa,Alto da Boa Vista,Anchieta,Andarai,Anil,Bancarios,Bangu,Barra de Guaratiba,Barros Filho,Benfica,Bento Ribeiro,Bonsucesso,Botafogo,Bras de Pina,Cachambi,Cacuia,Caju,Camorim,Campinho,Cascadura,Catete,Catumbi,Cavalcanti,Cidade de Deus,Cidade Nova,Cocota,Coelho Neto,Colegio,Complexo do Alemao,Copacabana,Cordovil,Cosme Velho,Cosmos,Costa Barros,Curicica,Del Castilho,Deodoro,Encantado,Engenheiro Leal,Engenho da Rainha,Engenho de Dentro,Engenho Novo,Estacio,Flamengo,Freguesia Ilha do Governador,Freguesia de Jacarepagua,Galeao,Gamboa,Gardenia Azul,Gavea,Gloria,Grajau,Guadalupe,Guaratiba,Higienopolis,Honorio Gurgel,Humaita,Imperial de Sao Cristovao,Inhauma,Inhoaiba,Ipanema,Iraja,Itanhanga,Jacare,Jacarepagua,Jacarezinho,Jardim America,Jardim Botanico,Jardim Carioca,Jardim Guanabara,Jardim Sulacap,Joa,Lagoa,Laranjeiras,Leblon,Leme,Lins de Vasconcelos,Madureira,Magalhaes Bastos,Mangueira,Manguinhos,Maracana,Mare,Marechal Hermes,Maria da Graca,Meier,Monero,Olaria,Oswaldo Cruz,Paciencia,Padre Miguel,Paqueta,Parada de Lucas,Parque Anchieta,Parque Columbia,Pavuna,Pechincha,Pedra de Guaratiba,Penha,Penha Circular,Piedade,Pilares,Pitangueiras,Portuguesa,Praca da Bandeira,Praca Seca,Praia da Bandeira,Quintino Bocaiuva,Ramos,Realengo,Recreio dos Bandeirantes,Riachuelo,Ribeira,Ricardo de Albuquerque,Rio Comprido,Rocha,Rocha Miranda,Rocinha,Sampaio,Santa Cruz,Santa Teresa,Santissimo,Santo Cristo,Sao Conrado,Sao Francisco Xavier,Saude,Senador Camara,Senador Vasconcelos,Sepetiba,Tanque,Taquara,Taua,Tijuca,Todos os Santos,Tomas Coelho,Turiacu,Urca,Vargem Grande,Vargem Pequena,Vasco da Gama,Vaz Lobo,Vicente de Carvalho,Vidigal,Vigario Geral,Vila Cosmos,Vila da Penha,Vila Isabel,Vila Valqueire,Vista Alegre,Zumbi
Abolicao,0.0,0.0,0.1534238130823635,0.0,0.022188467217347005,0.7036762261917354,0.10274133667991439,0.06428246781457563,0.0,0.0,0.0,0.0,0.8184867335223777,0.0,0.12246999684591513,0.021759798134975365,0.9222514445007652,0.0,0.0,0.0,0.4645244994484026,0.07531539683514224,0.4421888905353155,0.3300900697814578,0.0,0.013170892794338753,0.19522782510498052,0.2883197859572433,0.0,0.0,0.0,0.19764214306479563,0.0,0.1801998954235967,0.0,0.0,0.0,0.07141538438869587,0.0,0.948333458314797,0.0,0.007622810172604585,0.7882834700680078,0.6458679270372258,0.12256244601132775,0.46060315384791983,0.0,0.28115863172930117,0.0,0.0715760084674029,0.21795047902322826,0.21189737768704056,0.3288972189693832,0.26641631729527243,0.0,0.0,0.25207747615728265,0.0,0.48517579353292506,0.0,0.026984444074795434,0.0,0.08125783435648659,0.0,0.0,0.12920781889773458,0.0,0.0,0.17105691519460026,0.45124980575320756,0.33194682996611463,0.2931555276071518,0.0,0.0,0.3305004683147048,0.4727140283029571,0.22746741133904316,0.23953469861470533,0.2927007454566378,0.0,0.0,0.0,0.0,0.419366297275541,0.0,0.5032248001905772,0.4457791816801165,0.7589064787305629,0.4343878168684514,0.03964127700003164,0.703822713079396,0.0,0.0,0.13027532008479462,0.0,0.0,0.0,0.0,0.6606475813135817,0.028867411964795472,0.0,0.0,0.8076003197482828,0.6541768291170375,0.0,0.3712224884470399,0.7264341114225257,0.18995787065329056,0.46639218044063213,0.03740392555918219,0.0,0.0,0.0,0.7430415416411098,0.2705986095491581,0.0554620731090182,0.5268927463711611,0.6804266652209846,0.17104369935824834,0.034690645970827036,0.1301899003242815,0.0,0.39058888143328246,0.0,0.06628354754805102,0.0,0.07623955599222675,0.4143715466590528,0.0,0.0,0.0,0.06821527591222441,0.0,0.02711633263548866,0.15981033209827217,0.8907399806821515,0.0,0.041096399290467184,0.19489574791239941,0.0,0.0,0.017701473757435634,0.02757579284378743,0.0,0.0,0.0,0.0,0.4229965426497979,0.6940502995631114,0.5210637637323767,0.3566470454529331,0.3850624294810876
Acari,0.0,0.0,0.0,0.0,0.49905990536147493,0.0,0.0,0.017657937167863947,0.37099126604428057,0.0,0.9273079529181509,0.7231409092685037,0.0,0.3263451341806424,0.0,0.39558853475742933,0.0,0.0,0.35526380578295563,0.0,0.02331041149204327,0.33013228067476347,0.0,0.01745981027341917,0.48512197830018255,0.0595654299387649,0.0,0.0,0.4728275860474036,0.7511964818039828,0.6254517923071542,0.0,0.6139391836326065,0.0,0.4290286586219452,0.859975635228456,0.0,0.07602418429348563,0.557946233522561,0.0,0.3306186447066879,0.15339157527422922,0.0,0.0,0.08628854274671888,0.0,0.0,0.0,0.4186535257316132,0.24365770765483538,0.0,0.0,0.0,0.0,0.49951105034265914,0.0,0.07415040846479917,0.43602977784209324,0.0,0.0,0.1888512887442757,0.47613496282824014,0.0,0.226114847401122,0.0,0.32440101002731614,0.16620848329795795,0.6358484357608334,0.23129773236998039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28111525524056596,0.46207249390400307,0.463101661740992,0.8478067025383116,0.0,0.7244825178180219,0.1479046359342712,0.0,0.0,0.0,0.08989092482915129,0.0,0.3827044052829559,0.4871472958348794,0.0,0.8689833760119035,0.1879231081472589,0.6976046511634197,0.789679328621275,0.0,0.0,0.4634365859720994,0.24882872639866016,0.0,0.0,0.111064770570507,0.0,0.0,0.0,0.0,0.08689333866201034,0.3838408480357011,0.16692321400838636,0.0,0.0,0.0,0.49342044512506417,0.0,0.0,0.2654730882083382,0.16061988251441695,0.42937706641804807,0.25602242071233994,0.0,0.386316428826169,0.1743987575957946,0.0,0.3349482584232378,0.0,0.5376105205917735,0.33463459334416884,0.0,0.0,0.0,0.15600589113685265,0.0,0.0,0.19037877627823363,0.18719541241643387,0.0,0.007331710068982262,0.0,0.19423144149553898,0.45719590399321475,0.5479368104352396,0.04785069943809837,0.7031634539434422,0.08327945848571681,0.0,0.0,0.0,0.0,0.0
Agua Santa,0.1534238130823635,0.0,0.0,0.7536456630949078,0.0,0.3950251449206346,0.1012766948108123,0.0,0.0,0.3405615327009782,0.0,0.0,0.009512195131156045,0.0,0.0,0.0,0.13678346257998072,0.3958423035524319,0.0,0.4678703790718376,0.0778988708989705,0.0,0.0,0.0,0.09393333051656984,0.0,0.0,0.00227130519287248,0.0,0.0,0.0,0.0,0.0,0.5745309406546314,0.0,0.0,0.0,0.0,0.016638947407028613,0.17460326760887798,0.18598387772233813,0.16041290993968757,0.31051507267381584,0.29044030069798105,0.0,0.024240338936189577,0.48735013747587025,0.5653666997376976,0.0,0.0,0.0,0.4779887469010643,0.0,0.9001877920479295,0.0,0.26687531932122455,0.0,0.0,0.5489270406005354,0.0,0.0,0.0,0.16929580037469452,0.0,0.141258330259675,0.0,0.10906844774605254,0.0,0.0,0.6009659226798184,0.0,0.15874618910303942,0.4162760802706324,0.3388341892598236,0.7260701017958343,0.39261561370776843,0.04598742208064619,0.40420448459138014,0.6162624386457103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029867481907433196,0.212849081567294,0.0,0.0,0.0,0.0,0.3579115540721942,0.0,0.45371453523403116,0.0,0.0,0.36465804712795097,0.23299475527639907,0.0,0.0,0.5313064414055678,0.0,0.010350595564015876,0.0,0.0644539388514084,0.5139882023642526,0.1629844488425734,0.35714446337187683,0.0,0.11807824290730698,0.08126660045837895,0.39563586171530984,0.11307652434769908,0.0,0.35810739835165467,0.37239214002425197,0.0,0.0,0.0,0.0,0.6293230998783453,0.0,0.0,0.5418003662027348,0.08766524947634946,0.0,0.05136951912949184,0.0,0.10892783422297093,0.5052545958492703,0.0,0.0,0.1093828195503557,0.2429135574509339,0.020086484338967567,0.0,0.5065679720585751,0.31420230962877416,0.3293204948144587,0.0,0.0,0.0,0.15620704221283127,0.0,0.10630424005196498,0.0,0.12551801888923425,0.6061837586499482,0.0,0.06407846542647092
Alto da Boa Vista,0.0,0.0,0.7536456630949078,0.0,0.0,0.09438302357891265,0.04014399223339266,0.0,0.0,0.5102357936090811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36779164134702197,0.0,0.5483830161749662,0.0,0.0,0.0,0.15322747194839703,0.11788886780082546,0.0,0.0,0.0,0.0,0.0,0.01955182645341544,0.0,0.0,0.6789179837922722,0.0,0.0,0.0,0.0,0.2636364829669481,0.0,0.20901837222780603,0.10080675983925878,0.05296875461159525,0.02597091394342851,0.0,0.0,0.7084392756152873,0.46420259287616134,0.2671848039100347,0.0,0.0,0.3674592087724641,0.0,0.6773797597204756,0.0,0.5598667624702056,0.0,0.0,0.2743822538912598,0.0,0.0,0.0,0.03820357103631303,0.0,0.5614621384067666,0.0,0.4748566109626815,0.0,0.0,0.3804388125497207,0.0,0.0,0.34091979591177063,0.40840426735266827,0.5148173004963638,0.1608266865004515,0.0,0.308114111539974,0.5918144329512303,0.0,0.0,0.11427471601926333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1768843930153675,0.0,0.21297532113873577,0.0051116761560952625,0.31671126523326804,0.0,0.0,0.059717798078100695,0.25689584530806725,0.0,0.0,0.21658379295931668,0.0,0.021227136321845048,0.0,0.0,0.5227262280370513,0.0,0.21192602482127335,0.0,0.22567169914242458,0.20841873979827436,0.0,0.0,0.0,0.32714399292318386,0.06271020124455091,0.0,0.2767015752425182,0.20804054689169443,0.12177541968727124,0.6108888085205659,0.0,0.0717862172007341,0.545266826182042,0.1740652380282903,0.0,0.10954422394297533,0.059950518789585364,0.19135182948829646,0.6123272829416369,0.0,0.0,0.0,0.0,0.0,0.0,0.4083346180445512,0.5611304291048267,0.5529166639180747,0.0,0.0,0.0,0.5581453976126798,0.0,0.014787427209510548,0.0,0.0,0.3498746986896871,0.0,0.0
Anchieta,0.022188467217347005,0.49905990536147493,0.0,0.0,0.0,0.0,0.17204127002470465,0.21576205142729407,0.48690723344180625,0.0,0.5434728839754092,0.1985946879600128,0.4624751618090792,0.01707696421980965,0.0,0.5945502544446923,0.0,0.0,0.0,0.0,0.42639034698576006,0.5753499195326468,0.0,0.0,0.7280697648111439,0.4565662543024314,0.0,0.0,0.4383296222592427,0.5463722180780453,0.28998029748389553,0.0,0.5037776649976287,0.0,0.5169343045993684,0.7696619442921583,0.07623528018920554,0.0,0.4070572736007564,0.10174480882961248,0.7192747415781163,0.12704554049219458,0.0,0.14244134695136756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8928803723784831,0.0,0.2612761557339945,0.7537817318033279,0.0,0.0,0.07648273101513672,0.5347477230079265,0.0,0.24459570304798514,0.0,0.23654974138813786,0.0,0.16972866583079002,0.737240599745471,0.0,0.071845457000451,0.029579265621947588,0.09873182443233654,0.0,0.0,0.0,0.0,0.0,0.09458609919979662,0.27382320574613345,0.6126547909284129,0.21399257388504575,0.24711794559875425,0.0,0.3949908152048572,0.5964105197700219,0.0,0.0,0.04402100311826827,0.0,0.6314687335855836,0.25459537346737615,0.7307124611276599,0.0,0.33970793134067084,0.6483016107210775,0.6400013876380307,0.609564163358812,0.0,0.0,0.07435454542311369,0.09054191677950287,0.0,0.19268952472472228,0.2208258147214221,0.11836261298698451,0.0,0.0,0.09324152946315863,0.3356937805382916,0.22907945713228617,0.2839700243453944,0.0,0.0,0.0,0.9357188487661515,0.0,0.0,0.7143935877941556,0.0,0.19960443039527598,0.09674793415918599,0.0,0.5157524683284795,0.0,0.0,0.0,0.0,0.6102705404068341,0.4607512993940333,0.15318470280462682,0.0,0.0,0.20123183055651114,0.0,0.04405004027377594,0.1344820457277859,0.5169265222230116,0.0,0.0,0.0,0.0,0.7655979141974734,0.20187587452422445,0.0,0.37386308785514016,0.456988057016847,0.35640603887276845,0.0,0.0,0.4084689504894518,0.0
Andarai,0.7036762261917354,0.0,0.3950251449206346,0.09438302357891265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36033019484332635,0.0,0.37257390618771724,0.0,0.7980346959442324,0.03479862139261838,0.15342749614475606,0.0,0.11603741523728807,0.0,0.6178220278508663,0.4546166786159155,0.0,0.0,0.20179171426207929,0.13086791477871912,0.0,0.0,0.0,0.3937259320290958,0.0,0.6238505560281022,0.0,0.0,0.0,0.0,0.0,0.6681051461243038,0.0,0.0,0.6606598650835419,0.5723559306383973,0.17804542996928963,0.6144888936280127,0.1045254048911827,0.37108372693051705,0.0,0.14713890804667934,0.0,0.5526347876999764,0.42891981730449275,0.6665309041363491,0.0,0.0,0.0064682960103287475,0.0,0.827045348697553,0.0,0.0,0.0,0.36254316149848237,0.0,0.0,0.015132713914150013,0.0,0.0,0.0,0.74509385037579,0.14045149865139722,0.26432413425094947,0.0,0.20254434618185743,0.6836111628562386,0.7881653018420223,0.433563253410276,0.5612189189216806,0.43598172133754576,0.0,0.0,0.0,0.0,0.5168869507501366,0.0,0.10965765867100388,0.2728834001088493,0.7272893767365094,0.31815584070926356,0.08817142485888661,0.21892557161215323,0.0,0.0,0.0008201512772948289,0.0,0.0,0.0,0.0,0.5289392668826238,0.0,0.0,0.0,0.6441083579107182,0.39280606477834357,0.0,0.2905311766161759,0.7502871422289364,0.169070250643206,0.24996527248358863,0.0,0.0,0.0,0.0,0.730626881619857,0.24643678162039304,0.0,0.7280102922331165,0.6640422735066384,0.0,0.12264069798020683,0.0628608720021823,0.0,0.6442155425556707,0.0,0.24870471960829307,0.2909879017734525,0.3471895937815222,0.3282547641693262,0.0,0.0,0.0,0.056090579556311033,0.0,0.0,0.38654861834087223,0.7922931561678227,0.0,0.0,0.5887669886307086,0.0,0.0,0.18087738736240327,0.0,0.0,0.05630564296831445,0.0,0.0,0.2340724470550011,0.8286837841999996,0.4268133252182979,0.12154536659675362,0.1932541411370903
Anil,0.10274133667991439,0.0,0.1012766948108123,0.04014399223339266,0.17204127002470465,0.0,0.0,0.25951171310836907,0.10981943519130238,0.24054827586856403,0.0,0.0,0.21574800133937683,0.0,0.0,0.0,0.10104558983216151,0.2071307716657745,0.0,0.22578985619729794,0.0,0.0,0.0,0.0,0.0,0.5962809917476352,0.0,0.3862148787890236,0.0,0.0,0.0,0.0,0.0,0.0,0.29535877287190476,0.0,0.6905269604523102,0.0,0.0,0.12182031914310563,0.12285419589980388,0.0,0.0,0.0,0.0,0.0,0.49814408204591804,0.41462568081826945,0.0,0.0,0.40489499752161584,0.1355482098190007,0.0,0.008708020107646418,0.03415528436635325,0.24453947827989395,0.35037550056153083,0.0,0.04715222243777798,0.0,0.0,0.279895730454809,0.0,0.0,0.002327083662968997,0.0,0.07271617147239022,0.0,0.20674996565699172,0.19933771822182236,0.2924940118476271,0.4971549808439749,0.2863651834289827,0.20537173017412272,0.15546180678832147,0.028138578339733832,0.0,0.0,0.0,0.0,0.1985051809054987,0.0,0.0,0.0,0.0,0.017255595384551032,0.0,0.0,0.4653233894743829,0.0,0.11353722791736294,0.39717170522477246,0.15116735578254675,0.04570620403286375,0.0,0.25405746522929057,0.02822088587048334,0.0,0.4214484103628901,0.4660389138350194,0.0,0.0,0.01111778977949571,0.0,0.17568447999653866,0.3358446876471949,0.0,0.1085097502213771,0.3885620867586724,0.0,0.03273372707562656,0.32994079761585865,0.20996102950000117,0.0,0.2667102668427554,0.06385849679635984,0.0,0.049336165871008406,0.0,0.0,0.0,0.33521849747429056,0.0,0.2646274618884979,0.0,0.0,0.0,0.0,0.1193192705085507,0.3251615911173409,0.4141676238814844,0.11917950024464709,0.5219581331663238,0.11620600672932214,0.0,0.12590340092955682,0.0,0.1646857234086002,0.005062453272494774,0.17546660780982373,0.37779971006144764,0.0,0.0,0.0,0.0,0.0,0.0,0.12328019648952838,0.0,0.32744577571546973,0.19386182636664176,0.40171013813714945
Bancarios,0.06428246781457563,0.017657937167863947,0.0,0.0,0.21576205142729407,0.0,0.25951171310836907,0.0,0.0,0.0,0.11824332120200548,0.0,0.08432743217430651,0.0,0.0,0.24842642145915222,0.13307735158754316,0.6438199633646359,0.04754982028458752,0.0940308470417757,0.16276249719019192,0.0,0.0,0.0341160249916018,0.0,0.3472323709377012,0.0,0.5935640372146722,0.0,0.0,0.4954373550303138,0.0,0.0,0.030105981948538935,0.09679696571799701,0.25230777871511745,0.16178401029425915,0.0,0.0,0.017464130315139915,0.06818569029589046,0.0,0.0,0.0,0.0,0.0,0.33375513841449483,0.0,0.3065135868530712,0.0,0.22575484199444448,0.0,0.0,0.0,0.0,0.029681500476308798,0.02331847521504277,0.1134666547513201,0.0,0.0,0.0,0.13840735478689933,0.0,0.0,0.1254938851943504,0.0,0.0,0.23046076368346255,0.5468060320459225,0.0,0.8709371667520805,0.5823539919341151,0.009071733441461975,0.0,0.0,0.0,0.0,0.0,0.2559481970433595,0.0,0.08154063185396498,0.04607047886656518,0.0,0.0,0.27136096288413736,0.17385179536980344,0.0,0.0,0.6515933292374553,0.0,0.06754001975612844,0.10988643944023842,0.0,0.45606524580539765,0.06430785814288408,0.0,0.10332542796202049,0.0,0.08611945229562214,0.20976196448610038,0.0,0.0,0.0,0.0,0.9677867036885134,0.8783315853400552,0.0,0.08292792128989716,0.7473084550659268,0.0,0.0,0.0,0.0,0.0,0.5337005253300307,0.0467551121480935,0.0,0.0,0.0,0.19321439430317222,0.008566947991219235,0.003986756723432705,0.022757209111317123,0.1134065186631622,0.047701745186986104,0.0,0.0,0.0,0.0,0.048257579392815705,0.34768329298873846,0.0,0.0,0.9408824535379557,0.0,0.1240229993663284,0.0,0.035376605135298,0.0,0.1827180303654221,0.1875989422685071,0.0,0.0,0.0,0.0,0.0,0.056658018803718305,0.09318115692147302,0.15491441238528394,0.3601027680179831,0.28417348321567226,0.6643858529239943
Bangu,0.0,0.37099126604428057,0.0,0.0,0.48690723344180625,0.0,0.10981943519130238,0.0,0.0,0.0,0.39382895142569985,0.2785920604505651,0.0,0.3984677967007633,0.0,0.11840541940319425,0.0,0.0,0.0,0.0,0.0,0.6942965820598855,0.0,0.0,0.6424903215803704,0.0,0.0,0.0,0.5175811946366723,0.3807938949963366,0.14193289313103713,0.0,0.28574893323995376,0.0,0.6390426143647517,0.46675153243349604,0.13832244961435444,0.0,0.5019485753043069,0.0,0.6012178502795809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5451127122301604,0.0,0.19971498666537074,0.46619899988944824,0.0,0.011789853475186088,0.0,0.6424082158346649,0.0,0.3367578255025947,0.0,0.0,0.16266276291778217,0.0,0.22328172839624474,0.0,0.0,0.0,0.5246280912018694,0.0,0.0,0.0,0.0,0.0,0.0,0.6660167256929559,0.43409776251450044,0.0,0.20063444001132985,0.0,0.1933180905158466,0.0,0.0,0.0,0.0,0.13070363260554457,0.002033825843671661,0.38069978743801997,0.8238006993443607,0.0,0.18022711873647682,0.5824646819160645,0.5029526202885474,0.5372181418398022,0.0,0.0,0.35132563923987553,0.3748797774685047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6564293878834008,0.36261242919655506,0.86802515836222,0.0,0.0,0.0,0.4322324057893619,0.0,0.0,0.5202084460375354,0.0,0.0,0.4496224745249262,0.0,0.7563500013236824,0.0,0.0,0.0,0.0,0.8779858800826018,0.7498160419155824,0.0,0.0,0.32286128800268554,0.0,0.0,0.0,0.0,0.3684685668259453,0.0,0.0,0.0,0.0,0.5864827969190592,0.32025380937232456,0.0,0.30176839532939254,0.5062777938762243,0.3782751534881298,0.0,0.0,0.28313200156922874,0.0
Barra de Guaratiba,0.0,0.0,0.3405615327009782,0.5102357936090811,0.0,0.0,0.24054827586856403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35262935180878596,0.0,0.9120166881510525,0.0,0.0,0.0,0.0,0.021877078323877492,0.15425657317649302,0.0,0.0,0.0,0.0,0.0,0.009837418789784915,0.0,0.0978954211420676,0.2534228391176596,0.0,0.25550587893154936,0.0,0.15186932746204598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38166141586626995,0.33958282746377594,0.026331113705711288,0.0,0.0,0.10492698007562991,0.0,0.17795817334109484,0.0,0.8472582719965711,0.0,0.0,0.034937822343721295,0.0,0.0,0.20623125792344998,0.17285268783785615,0.0,0.25816916160950637,0.0,0.31084970240561804,0.0,0.0,0.10803160797904526,0.0,0.0,0.3941171162486917,0.49078937229554687,0.2061592866805619,0.0,0.0,0.3082507457336774,0.08811782118523696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4814073488480103,0.0,0.47563212153500856,0.0,0.1769600727540661,0.0,0.0,0.13766853370973775,0.8549955607927441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37439154983172734,0.02146863695576518,0.01407032599406217,0.0,0.19204579865446414,0.7252591444166291,0.0,0.009933317435350284,0.0,0.020775363302296204,0.0,0.0,0.0,0.0,0.43048441299535717,0.10418013814219705,0.13816510222201142,0.0,0.3874095585486042,0.0,0.0,0.09664783801832579,0.2195929882409799,0.7435420078766081,0.5314945163358413,0.0991405121762946,0.0,0.0,0.0,0.0,0.0,0.29290068741060216,0.8168703993390466,0.8722420511669621,0.0,0.0,0.0,0.35152396648710266,0.0,0.0,0.0,0.0,0.31681532741842766,0.0,0.0
